Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000AWETzOEUJ1Y5u0Tya1,01/06/2023,01:52:00,Faster payment,WALLACE ERS,,Income,700.00,GBP,700.00,GBP,MONTHLY BUDGET,,,MONTHLY BUDGET,,,700.00
tx_0000AWETzOPpcqhCWFYUfx,01/06/2023,01:52:00,Faster payment,WALLACE ERS,,Transfers,100.00,GBP,100.00,GBP,RAINY DAY FUND,,,RAINY DAY FUND,,,100.00
tx_0000AWETzOHg7B3xDG1QbB,01/06/2023,01:52:00,Faster payment,WALLACE ERS,,Transfers,50.00,GBP,50.00,GBP,TREATS,,,TREATS,,,50.00
tx_0000AWETzOcarOpb6llE9a,01/06/2023,01:52:00,Faster payment,WALLACE ERS,,Transfers,125.00,GBP,125.00,GBP,HOLIDAY,,,HOLIDAY,,,125.00
tx_0000AWEb6EnGUwP23rtDZR,01/06/2023,03:11:40,Account interest,,,Income,1.10,GBP,1.10,GBP,,,,Interest for May 2023,,,1.10
tx_0000AWEbihh1V1eq7PQmMD,01/06/2023,03:18:38,Card payment,Stagecoach,🚌,Transport,-2.00,GBP,-2.00,GBP,Bicester ,Daw Bank,,STGCOACH/CTYLINK       BUS TICKET    GBR,,-2.00,
tx_0000AWFhamOAwwAkaX9UaA,01/06/2023,15:59:08,Card payment,Trainline,🚄,Transport,-2.55,GBP,-2.55,GBP,Bicester,,,Trainline              London        GBR,,-2.55,
tx_0000AWFi42fxTTRa8y83Ob,01/06/2023,16:04:25,Faster payment,WALLACE ERS,,Savings,1136.42,GBP,1136.42,GBP,Savings,,,Savings,,,1136.42
tx_0000AWFi6hqzLaDkw3CNTF,01/06/2023,16:04:54,Pot transfer,Savings Pot,,Savings,-1136.42,GBP,-1136.42,GBP,,,,,,-1136.42,
tx_0000AWFpDKJDyzpJz192R8,01/06/2023,17:24:32,Card payment,Google,💻,Entertainment,0.00,GBP,0.00,GBP,Active card check,,,GOOGLE *TEMPORARY HOLD https://protect-eu.mimecast.com/s/bz-SC3YrAf33kcgRo9X?domain=g.co GBR,,0.00,
tx_0000AWFpIjyxxRL96Y13vF,01/06/2023,17:24:40,Card payment,Wob.com,📚,Shopping,-6.40,GBP,-6.40,GBP,On photography - book,"Mulberry House, Woods Way, Worthing",,Wob.com                INTERNET      GBR,,-6.40,
tx_0000AWFpP3Yy4POHWN6NPN,01/06/2023,17:26:39,Pot transfer,Savings Pot,,Groceries,-14.94,GBP,-14.94,GBP,Tesco repayment ,,,,,-14.94,
tx_0000AWGbuhR2fiddxXY68P,02/06/2023,02:30:13,Pot transfer,Treats Pot,,Transfers,-100.00,GBP,-100.00,GBP,,,,,,-100.00,
tx_0000AWGbuiWkbynbLXEAfn,02/06/2023,02:30:13,Pot transfer,Holiday Pot,,Transfers,-125.00,GBP,-125.00,GBP,,,,,,-125.00,
tx_0000AWGc1iHVvKUCbxR8B0,02/06/2023,02:31:29,Pot transfer,Rainy Day Pot,,Transfers,-50.00,GBP,-50.00,GBP,,,,,,-50.00,
tx_0000AWHQHKxhO9wyBk5xyr,02/06/2023,11:54:34,Card payment,Sainsbury’s,🍏,Groceries,-7.05,GBP,-7.05,GBP,,Park End Street,,SAINSBURY'S OXFORD PAR OXFORD        GBR,,-7.05,
